GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimall,com.minimall.dto,LiveRoomResponse,72,0,0,0,14,0,2,0,2,0
minimall,com.minimall.dto,MemberBenefitsResponse,50,0,4,0,9,0,4,0,2,0
minimall,com.minimall.dto,LikeResponse,9,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,ShareResponse,15,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,DeductPointsRequest,12,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,OrderDTO.OrderItemDTO,38,0,0,0,11,0,11,0,11,0
minimall,com.minimall.dto,UserDTO,76,0,0,0,21,0,14,0,14,0
minimall,com.minimall.dto,CouponResponse,30,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,LiveGoodsResponse,52,0,0,0,11,0,2,0,2,0
minimall,com.minimall.dto,OrderDTO,73,0,0,0,21,0,21,0,21,0
minimall,com.minimall.dto,DtoMapper,127,0,0,0,30,0,5,0,5,0
minimall,com.minimall.dto,ShareRequest,9,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,LiveCommentResponse,42,0,0,0,9,0,2,0,2,0
minimall,com.minimall.dto,CouponRequest,24,0,0,0,1,0,1,0,1,0
minimall,com.minimall.dto,PointTransactionResponse,43,0,0,0,9,0,2,0,2,0
minimall,com.minimall.dto,CategoryDTO,70,0,2,0,18,0,13,0,12,0
minimall,com.minimall.dto,ProductDTO,52,0,0,0,15,0,15,0,15,0
minimall,com.minimall.dto,PointAccountResponse,33,0,0,0,7,0,2,0,2,0
minimall,com.minimall.exception,GlobalExceptionHandler,164,0,4,0,37,0,15,0,13,0
minimall,com.minimall.exception,OrderException,11,0,0,0,4,0,2,0,2,0
minimall,com.minimall.exception,PaymentException,11,0,0,0,4,0,2,0,2,0
minimall,com.minimall.exception,GlobalExceptionHandler.ErrorResponse,26,0,0,0,3,0,3,0,3,0
minimall,com.minimall.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
